Column1;publisheddate;clean_text;Stock Name;symbol;Date;yusuf_bert;furkanU_bert;Sena_bert;model_3;before;now;after
0;29.04.2023 18:00;could ai save amazon rainforest;Amazon;AMZN;29.04.2023;Positive;Positive;Neutral;;1062099991;1025699997;1049800034
1;9.08.2023 00:48;brazilian president lula pledge new amazon dream rainforest summit;Amazon;AMZN;8.08.2023;Positive;Positive;Neutral;;1316900024;1282100067;1289100037
2;8.07.2023 15:00;white nationalist publisher data exposed amazon cloud leak;Amazon;AMZN;8.07.2023;Negative;Negative;Negative;;1302200012;1303800049;1283600006
3;2.06.2023 15:00;multinational company industrialised amazon rainforest;Amazon;AMZN;2.06.2023;Positive;Positive;Neutral;;1201100006;1216600037;1205800018
4;20.06.2023 20:19;bernie sander launch investigation working condition amazon;Amazon;AMZN;20.06.2023;Negative;Positive;Neutral;;1266600037;1264199982;1271100006
5;6.08.2023 20:17;indigenous activist gather brazil discus future amazon;Amazon;AMZN;6.08.2023;Positive;Negative;Neutral;;1336799927;1316900024;1282100067
6;31.07.2023 13:58;uk farmer donated £k amazon indigenous meeting could take place;Amazon;AMZN;31.07.2023;Positive;Positive;Neutral;;1288000031;1291300049;1281499939
7;5.06.2023 08:00;rethink reform rebuild step save amazon;Amazon;AMZN;5.06.2023;Positive;Positive;Neutral;;1216600037;1205800018;1227699966
8;2.06.2023 15:00;visual guide deforestation brazil amazon rainforest;Amazon;AMZN;2.06.2023;Positive;Positive;Neutral;;1201100006;1216600037;1205800018
9;22.06.2023 20:54;true believer ocado tempted amazon nil pratley;Amazon;AMZN;22.06.2023;Positive;Positive;Neutral;;1271100006;1254899979;1257799988
10;4.04.2023 14:07;amazon close book depository online shop;Amazon;AMZN;4.04.2023;Negative;Positive;Neutral;;9723999786;10025;102
11;17.07.2023 09:00;amazon fire max review nice looking tablet poor software;Amazon;AMZN;17.07.2023;Negative;Positive;Neutral;;1271299973;1287799988;1308000031
12;2.08.2023 19:10;amazon deforestation fall compared last july say brazilian minister;Amazon;AMZN;2.08.2023;Negative;Negative;Negative;;1281499939;12825;1322100067
13;8.08.2023 23:14;leader amazon nation gather brazil summit rainforest future;Amazon;AMZN;8.08.2023;Positive;Positive;Neutral;;1316900024;1282100067;1289100037
14;3.08.2023 15:06;hope lesson tiny reforestation scheme amazon;Amazon;AMZN;3.08.2023;Positive;Positive;Neutral;;12825;1322100067;1336799927
15;14.06.2023 09:00;amazon insisted report missing package police;Amazon;AMZN;14.06.2023;Negative;Negative;Negative;;1212300034;12425;1234300003
16;27.07.2023 15:33;want lula see indigenous chief continues fight amazon;Amazon;AMZN;27.07.2023;Positive;Negative;Neutral;;1299600067;130;1288000031
17;24.06.2023 13:00;going keep fighting delivery worker stand amazon;Amazon;AMZN;24.06.2023;Negative;Negative;Neutral;;1257799988;1248300018;1301499939
18;8.08.2023 08:00;small firm fear going bust amazon extends wait time sale proceeds;Amazon;AMZN;8.08.2023;Negative;Negative;Negative;;1316900024;1282100067;1289100037
19;23.05.2023 19:00;u regulator launch investigation worker death amazon warehouse;Amazon;AMZN;23.05.2023;Negative;Positive;Neutral;;1134000015;1155;1181500015
20;14.06.2023 17:25;amazon staff coventry vote six month strike;Amazon;AMZN;14.06.2023;Negative;Positive;Negative;;1212300034;12425;1234300003
21;14.06.2023 09:00;amazon fire ramping seller fee advertising cost;Amazon;AMZN;14.06.2023;Negative;Positive;Positive;;1212300034;12425;1234300003
22;28.06.2023 12:30;amazon facing urgent crime crisis gutting protection say drug tsar;Amazon;AMZN;28.06.2023;Negative;Negative;Negative;;1248300018;1301499939;1293300018
23;12.05.2023 19:14;amazon union member launch strike ballot two uk site;Amazon;AMZN;12.05.2023;Negative;Negative;Neutral;;1056600037;1058300018;1066200027
24;18.04.2023 17:00;uk company mining gold amazon disputed land;Amazon;AMZN;18.04.2023;Negative;Negative;Neutral;;9991999817;9783000183;1024000015
25;3.06.2023 14:00;amazon google fund anti abortion lawmaker complex shell game;Google;GOOG;3.06.2023;Negative;Negative;Neutral;;1246399994;1233700027;1243700027
26;2.06.2023 15:17;look corporation dominate amazon;Amazon;AMZN;2.06.2023;Positive;Positive;Neutral;;1201100006;1216600037;1205800018
27;22.06.2023 01:02;amazon duped million enrolling prime u regulator say lawsuit;Amazon;AMZN;21.06.2023;Negative;Positive;Neutral;;1264199982;1271100006;1254899979
28;31.03.2023 14:02;amazon worker coventry announce six new strike date;Amazon;AMZN;31.03.2023;Negative;Negative;Neutral;;9812999725;9804000092;9723999786
29;8.06.2023 15:38;gmb halt bid official amazon union claiming firm skewed staff number;Amazon;AMZN;8.06.2023;Negative;Negative;Negative;;1227699966;12425;1253000031
30;19.04.2023 13:05;lydia davis refuse sell next book amazon;Amazon;AMZN;19.04.2023;Negative;Negative;Neutral;;9783000183;1024000015;1025100021
31;15.04.2023 07:00;amazon doesnt care book barnes noble bounced back;Amazon;AMZN;15.04.2023;Positive;Negative;Neutral;;1021699982;9991999817;9783000183
32;30.05.2023 12:56;amazon uk offer parent term time working amid union battle;Amazon;AMZN;30.05.2023;Positive;Positive;Neutral;;1149899979;11675;115
33;28.05.2023 15:45;e bike charger posing fire risk found ebay amazon wishcom;Amazon;AMZN;28.05.2023;Negative;Negative;Negative;;1150100021;1149899979;11675
34;7.07.2023 16:47;ya author shoot amazon bestseller list viral tiktok video;Amazon;AMZN;7.07.2023;Positive;Positive;Neutral;;1303600006;1302200012;1303800049
35;11.07.2023 18:53;robot amazon uk worker striking prime day;Amazon;AMZN;11.07.2023;Negative;Negative;Neutral;;1303800049;1283600006;1297799988
36;17.03.2023 12:15;indigenous child suffer illegal miner amazon invasion;Amazon;AMZN;17.03.2023;Negative;Negative;Neutral;;9073000336;9243000031;9487999725
37;18.06.2023 19:27;social medium site failing curb cottage industry fake review amazon say;Amazon;AMZN;18.06.2023;Negative;Negative;Negative;;1265699997;1266600037;1264199982
