Column1,publisheddate,news,Stock Name,symbol,Date,yusuf_bert,furkanU_bert,Sena_bert,furkanB,m_esit,before,now,after,majority_voted_sentiment
0,29.04.2023 18:00,could ai save amazon rainforest,Amazon,AMZN,29.04.2023,Positive,Positive,Neutral,Positive,Negative,106.2099991,102.5699997,104.9800034,Positive
1,9.08.2023 00:48,brazilian president lula pledge new amazon dream rainforest summit,Amazon,AMZN,8.08.2023,Positive,Positive,Neutral,Positive,Neutral,131.6900024,128.2100067,128.9100037,Positive
2,8.07.2023 15:00,white nationalist publisher data exposed amazon cloud leak,Amazon,AMZN,8.07.2023,Negative,Negative,Negative,Negative,Neutral,130.2200012,130.3800049,128.3600006,Negative
3,2.06.2023 15:00,multinational company industrialised amazon rainforest,Amazon,AMZN,2.06.2023,Positive,Positive,Neutral,Positive,Neutral,120.1100006,121.6600037,120.5800018,Positive
4,20.06.2023 20:19,bernie sander launch investigation working condition amazon,Amazon,AMZN,20.06.2023,Negative,Positive,Neutral,Negative,Neutral,126.6600037,126.4199982,127.1100006,Negative
5,6.08.2023 20:17,indigenous activist gather brazil discus future amazon,Amazon,AMZN,6.08.2023,Positive,Negative,Neutral,Positive,Neutral,133.6799927,131.6900024,128.2100067,Neutral
6,31.07.2023 13:58,false,Amazon,AMZN,31.07.2023,Positive,Positive,Neutral,Negative,Neutral,128.8000031,129.1300049,128.1499939,Neutral
7,5.06.2023 08:00,rethink reform rebuild step save amazon,Amazon,AMZN,5.06.2023,Positive,Positive,Neutral,Positive,Positive,121.6600037,120.5800018,122.7699966,Positive
8,2.06.2023 15:00,visual guide deforestation brazil amazon rainforest,Amazon,AMZN,2.06.2023,Positive,Positive,Neutral,Negative,Neutral,120.1100006,121.6600037,120.5800018,Neutral
9,22.06.2023 20:54,true believer ocado tempted amazon nil pratley,Amazon,AMZN,22.06.2023,Positive,Positive,Neutral,Negative,Neutral,127.1100006,125.4899979,125.7799988,Neutral
10,4.04.2023 14:07,amazon close book depository online shop,Amazon,AMZN,4.04.2023,Negative,Positive,Neutral,Positive,Neutral,97.23999786,100.25,102,Neutral
11,17.07.2023 09:00,amazon fire max review nice looking tablet poor software,Amazon,AMZN,17.07.2023,Negative,Positive,Neutral,Negative,Negative,127.1299973,128.7799988,130.8000031,Negative
12,2.08.2023 19:10,amazon deforestation fall compared last july say brazilian minister,Amazon,AMZN,2.08.2023,Negative,Negative,Negative,Negative,Neutral,128.1499939,128.25,132.2100067,Negative
13,8.08.2023 23:14,leader amazon nation gather brazil summit rainforest future,Amazon,AMZN,8.08.2023,Positive,Positive,Neutral,Positive,Positive,131.6900024,128.2100067,128.9100037,Positive
14,3.08.2023 15:06,hope lesson tiny reforestation scheme amazon,Amazon,AMZN,3.08.2023,Positive,Positive,Neutral,Positive,Neutral,128.25,132.2100067,133.6799927,Positive
15,14.06.2023 09:00,amazon insisted report missing package police,Amazon,AMZN,14.06.2023,Negative,Negative,Negative,Negative,Negative,121.2300034,124.25,123.4300003,Negative
16,27.07.2023 15:33,want lula see indigenous chief continues fight amazon,Amazon,AMZN,27.07.2023,Positive,Negative,Neutral,Positive,Negative,129.9600067,130,128.8000031,Negative
17,24.06.2023 13:00,going keep fighting delivery worker stand amazon,Amazon,AMZN,24.06.2023,Negative,Negative,Neutral,Negative,Neutral,125.7799988,124.8300018,130.1499939,Negative
18,8.08.2023 08:00,small firm fear going bust amazon extends wait time sale proceeds,Amazon,AMZN,8.08.2023,Negative,Negative,Negative,Negative,Positive,131.6900024,128.2100067,128.9100037,Negative
19,23.05.2023 19:00,u regulator launch investigation worker death amazon warehouse,Amazon,AMZN,23.05.2023,Negative,Positive,Neutral,Negative,Neutral,113.4000015,115.5,118.1500015,Negative
20,14.06.2023 17:25,amazon staff coventry vote six month strike,Amazon,AMZN,14.06.2023,Negative,Positive,Negative,Negative,Neutral,121.2300034,124.25,123.4300003,Negative
21,14.06.2023 09:00,amazon fire ramping seller fee advertising cost,Amazon,AMZN,14.06.2023,Negative,Positive,Positive,Negative,Neutral,121.2300034,124.25,123.4300003,Negative
22,28.06.2023 12:30,amazon facing urgent crime crisis gutting protection say drug tsar,Amazon,AMZN,28.06.2023,Negative,Negative,Negative,Negative,Neutral,124.8300018,130.1499939,129.3300018,Negative
23,12.05.2023 19:14,amazon union member launch strike ballot two uk site,Amazon,AMZN,12.05.2023,Negative,Negative,Neutral,Negative,Neutral,105.6600037,105.8300018,106.6200027,Negative
24,18.04.2023 17:00,uk company mining gold amazon disputed land,Amazon,AMZN,18.04.2023,Negative,Negative,Neutral,Negative,Neutral,99.91999817,97.83000183,102.4000015,Negative
25,3.06.2023 14:00,amazon google fund anti abortion lawmaker complex shell game,Google,GOOG,3.06.2023,Negative,Negative,Neutral,Negative,Neutral,124.6399994,123.3700027,124.3700027,Negative
26,2.06.2023 15:17,look corporation dominate amazon,Amazon,AMZN,2.06.2023,Positive,Positive,Neutral,Positive,Neutral,120.1100006,121.6600037,120.5800018,Positive
27,22.06.2023 01:02,amazon duped million enrolling prime u regulator say lawsuit,Amazon,AMZN,21.06.2023,Negative,Positive,Neutral,Negative,Neutral,126.4199982,127.1100006,125.4899979,Negative
28,31.03.2023 14:02,amazon worker coventry announce six new strike date,Amazon,AMZN,31.03.2023,Negative,Negative,Neutral,Negative,Neutral,98.12999725,98.04000092,97.23999786,Negative
29,8.06.2023 15:38,gmb halt bid official amazon union claiming firm skewed staff number,Amazon,AMZN,8.06.2023,Negative,Negative,Negative,Negative,Neutral,122.7699966,124.25,125.3000031,Negative
30,19.04.2023 13:05,lydia davis refuse sell next book amazon,Amazon,AMZN,19.04.2023,Negative,Negative,Neutral,Negative,Neutral,97.83000183,102.4000015,102.5100021,Negative
31,15.04.2023 07:00,amazon doesnt care book barnes noble bounced back,Amazon,AMZN,15.04.2023,Positive,Negative,Neutral,Negative,Negative,102.1699982,99.91999817,97.83000183,Negative
32,30.05.2023 12:56,amazon uk offer parent term time working amid union battle,Amazon,AMZN,30.05.2023,Positive,Positive,Neutral,Negative,Neutral,114.9899979,116.75,115,Neutral
33,28.05.2023 15:45,e bike charger posing fire risk found ebay amazon wishcom,Amazon,AMZN,28.05.2023,Negative,Negative,Negative,Negative,Negative,115.0100021,114.9899979,116.75,Negative
